Word	Lowest_AoA	Highest_AoA	All_Synonyms_Had_AoAs
aardvark	8.5	9.89	False
abacus	8.69	8.69	True
accordion	8.61	11.38	False
acorn	5.95	5.95	True
air conditioner	nan	nan	False
air mattress	9.37	9.37	True
air pump	nan	nan	False
airbag	12.26	12.26	True
airboat	10.75	10.75	True
aircraft carrier	8.26	9.29	False
airplane	3.94	4.95	False
album	6.72	6.72	True
alligator	4.78	7.61	True
almond	7.67	7.67	True
aloe	8.95	8.95	True
alpaca	10.81	10.81	False
altar	7.16	7.16	True
aluminum foil	7.84	7.84	False
amber	9.28	9.28	True
ambulance	6.16	6.16	True
amplifier	11.35	11.35	True
anchor	5.72	5.72	False
ankle	4.89	4.89	False
anklet	9.06	9.06	False
ant	4.32	16.43	False
anteater	8.5	8.5	False
antelope	8.39	8.39	True
antenna	7.05	11.5	False
anvil	10.79	10.79	True
appetizer	7.35	9.06	False
apple	4.15	4.15	True
apple tree	nan	nan	False
applesauce	4.32	4.32	True
apron	6.75	6.75	True
aquarium	5.94	6.84	False
arch	8.26	8.26	True
arm	3.26	3.26	True
armor	7.17	7.17	False
arrow	6.07	6.07	True
artichoke	10.0	10.0	False
arugula	5.63	16.75	False
ashtray	5.95	5.95	True
asparagus	6.79	6.79	True
avocado	9.29	9.29	False
awning	11.06	11.06	False
axe	6.11	6.32	True
baby	3.84	6.61	True
backdrop	8.67	9.78	False
backgammon	10.0	10.0	True
backpack	5.38	14.3	False
backscratcher	6.63	6.63	True
bacon	5.0	5.0	True
badge	6.11	6.11	True
badger	8.74	8.74	True
bag	4.28	4.28	True
bagel	8.9	8.9	False
bagpipe	9.33	9.33	True
baklava	15.69	15.69	True
balance beam	8.78	8.78	False
ball	2.9	2.9	True
balloon	4.37	4.37	True
ballot box	nan	nan	False
bamboo	9.28	9.28	True
banana	3.78	3.78	True
banana peel	nan	nan	False
banana split	nan	nan	False
bandage	5.94	7.28	True
bandanna	8.59	8.59	False
banjo	8.44	8.44	True
bank	6.44	6.44	False
banner	7.11	9.17	True
barbed wire	7.21	8.4	True
barbell	11.17	11.17	True
barcode	nan	nan	False
bark	5.17	5.17	True
barnacle	11.6	11.6	False
barrel	4.63	7.72	True
barrette	6.71	6.71	True
baseball	4.83	4.83	True
baseball bat	7.33	7.33	False
baseball glove	4.3	6.83	False
basil	10.13	10.13	True
basket	5.67	5.67	False
basketball	5.3	5.3	True
basketball hoop	5.67	6.11	False
bassinet	9.18	9.18	True
bassoon	10.38	10.38	True
bat	4.85	4.85	False
bat	4.85	4.85	True
bathmat	5.83	5.83	True
bathrobe	7.9	7.9	True
bathtub	3.22	3.95	False
baton	6.39	7.94	True
baton	7.94	15.11	False
baton	7.94	7.94	True
baton	7.94	7.94	True
batter	7.05	7.05	True
battery	5.58	5.58	False
bazooka	10.53	10.53	True
beachball	4.95	4.95	True
bead	5.63	5.63	True
beaker	11.25	11.25	True
bean	3.42	3.42	True
beanbag	6.11	6.11	True
beanie	10.72	10.72	False
bear	3.58	3.58	True
beard	4.84	5.11	False
beaver	5.21	5.21	True
bed	2.89	2.89	True
bedpan	11.18	11.18	True
bedpost	6.62	6.62	True
bee	5.0	5.0	True
beehive	6.89	7.47	True
beer	6.11	6.11	True
beet	6.56	10.69	True
beetle	5.32	5.32	True
bell	3.89	3.89	True
bell pepper	nan	nan	False
belt	4.62	4.62	True
belt buckle	nan	nan	False
bench	4.21	4.21	True
berry	5.21	5.21	True
bib	4.53	4.53	True
bike	4.26	7.5	True
bikini	8.26	8.26	False
bin	4.68	4.68	True
binder	10.42	10.42	False
binoculars	6.79	6.79	False
bird	3.52	3.52	True
birdbath	5.95	5.95	True
birdcage	5.63	5.63	True
birdhouse	5.43	5.43	True
birthday cake	nan	nan	False
biscuit	4.63	4.63	True
bison	8.11	8.11	True
blackberry	8.95	8.95	True
blanket	3.61	5.42	True
blazer	9.6	9.6	False
blender	6.84	6.84	False
blimp	6.05	6.63	False
blind	5.84	7.0	True
blinder	8.42	8.89	False
blindfold	8.11	8.11	True
block	4.79	4.79	True
blouse	6.65	6.65	True
blower	8.32	8.32	True
blowfish	9.19	10.88	False
blowgun	10.89	11.82	False
blowtorch	7.84	9.94	False
blueberry	6.22	6.22	True
boa	9.56	9.56	False
boar	9.83	9.83	False
board	6.37	6.37	True
board game	nan	nan	False
boat	3.84	3.84	True
bobsled	6.16	9.38	True
bok choy	nan	nan	False
bolo tie	12.67	12.67	False
bologna	nan	nan	False
bolt	7.28	7.28	True
bomb	8.0	8.0	True
bone	5.53	5.53	False
bongo	8.4	8.4	False
bonnet	6.83	6.83	False
bonsai	11.22	11.22	True
book	3.68	3.68	True
bookmark	6.75	8.26	True
bookshelf	7.68	7.68	True
boomerang	9.79	9.79	False
boot	3.89	3.89	True
bottle	3.56	3.56	True
bottle opener	nan	nan	False
boulder	7.92	7.92	False
bouquet	8.56	16.8	True
bow	4.95	4.95	False
bow	4.95	4.95	True
bow	4.95	4.95	True
bowl	4.26	4.26	True
bowler hat	10.45	10.58	False
bowling ball	4.26	4.26	False
bowtie	7.94	7.94	True
box	4.3	4.3	True
boxer shorts	3.95	6.05	False
boxing gloves	4.3	7.83	True
boy	3.67	3.67	False
bra	8.21	11.0	False
brace	7.89	7.89	True
bracelet	5.68	8.0	False
bracelet	5.68	8.65	True
bracket	8.56	8.56	False
braid	6.46	13.0	True
brake	5.95	5.95	True
branch	5.11	5.11	True
brass knuckles	5.35	5.35	False
bread	3.58	3.58	False
breadbox	6.8	9.67	True
breadstick	nan	nan	False
breakfast	3.47	3.47	True
breathalyzer	14.85	14.85	False
brick	6.43	6.43	True
briefcase	6.37	6.37	True
broccoli	5.2	5.2	False
brooch	10.71	10.72	False
broom	5.5	5.5	True
brownie	4.8	4.8	True
brush	3.78	3.78	True
brussels sprouts	nan	nan	False
bubble	3.79	3.79	True
bubble wrap	nan	nan	False
bucket	5.61	6.16	True
buckle	6.42	6.42	True
buffet	7.58	7.58	True
bug	3.79	3.79	True
buggy	6.95	6.95	True
bull	4.53	4.53	True
bulldozer	5.61	9.06	True
bullet	6.0	6.7	True
bulletin board	nan	nan	False
bulletproof vest	nan	nan	False
bumper	7.32	7.32	True
bun	5.79	5.79	True
bungee	11.16	11.16	False
bunkbed	5.62	6.48	True
buoy	9.76	9.76	True
burner	8.0	8.0	True
burrito	9.37	9.37	True
bus	3.85	14.8	False
bush	4.9	8.06	True
butter	5.78	5.78	True
butterfly	3.67	3.67	True
button	4.78	4.78	True
button	4.26	8.5	True
cabbage	5.78	5.78	False
cabinet	6.06	6.06	True
cable	4.85	9.2	False
cactus	6.72	6.72	True
cage	5.06	8.25	True
cake	3.26	3.26	True
cake mix	nan	nan	False
calamari	7.32	13.16	False
calculator	8.22	8.22	False
calf	6.63	6.63	True
calf	6.63	6.63	False
calzone	12.72	12.72	False
camcorder	11.65	11.65	True
camel	5.11	5.11	True
camera lens	nan	nan	False
camera	6.0	6.0	False
camera	6.0	6.0	False
camper	6.67	6.67	False
can	4.32	6.79	False
can opener	6.96	6.96	False
candelabra	12.18	12.18	False
candle	5.37	10.7	False
candlestick	5.61	7.78	True
candy	4.0	4.0	False
candy bar	nan	nan	False
candy cane	nan	nan	False
cane	5.74	5.74	True
canister	6.79	8.83	False
cannon	7.9	7.9	True
cannonball	6.39	6.39	False
canoe	6.63	6.63	True
cantaloupe	7.22	7.22	False
canvas	8.15	11.33	True
cap	5.53	5.53	True
cape	6.9	9.17	True
car	3.37	7.78	True
car door	nan	nan	False
car seat	nan	nan	False
caramel	6.58	6.58	True
card	6.2	6.2	True
cardboard	5.4	5.4	False
cardigan	10.11	10.11	True
cardinal	7.94	8.0	False
carousel	6.68	12.74	False
carriage	5.84	15.4	True
carrot	2.74	2.74	True
cart	6.16	6.16	True
cash machine	nan	nan	False
cash register	8.63	8.63	False
cashew	8.68	8.68	False
casserole	7.32	7.32	True
cassette	6.37	6.37	True
cat	3.68	3.68	False
catapult	10.56	17.0	False
caterpillar	5.17	5.17	True
catfish	6.61	6.61	False
cauliflower	6.18	6.18	True
caviar	12.83	12.83	False
cd player	nan	nan	False
celery	5.78	5.78	True
cello	9.89	12.6	True
cellphone	10.0	14.67	False
cement mixer	nan	nan	False
centerpiece	8.89	8.89	False
centrifuge	9.33	15.17	True
cereal	4.44	4.44	True
chain	5.22	5.22	True
chainsaw	7.0	7.0	True
chair	3.43	3.43	True
chalice	11.35	11.44	True
chalk	4.47	4.47	True
chalkboard	5.42	5.78	True
champagne	8.17	10.26	True
chandelier	8.63	10.3	False
chaps	10.0	10.0	True
charcoal	8.0	8.0	False
charger	10.63	10.63	False
chariot	9.11	9.11	True
checkbook	8.67	8.67	False
checkers	6.11	6.11	False
cheese	4.33	4.33	True
cheeseburger	4.78	4.78	True
cheesecake	8.11	8.11	True
cheetah	8.16	8.16	False
cherry	5.58	5.58	True
chess piece	10.79	10.79	False
chessboard	8.37	8.37	True
chest	5.05	6.6	True
chest	5.05	5.05	True
chick	5.53	12.08	True
chicken wire	nan	nan	False
chicken	3.26	3.26	False
chicken	3.26	3.26	False
chickpea	12.93	12.93	False
chihuahua	nan	nan	False
chili	6.61	6.61	False
chime	3.89	9.62	True
chimney	6.58	6.58	True
chin	4.22	4.22	False
chinaware	10.05	10.05	False
chinchilla	12.67	12.67	False
chip	5.89	14.0	False
chipmunk	4.7	4.7	True
chips	5.89	7.22	False
chisel	10.53	10.53	True
chive	11.07	11.07	False
chocolate	3.33	3.33	True
chopsticks	8.5	8.5	True
christmas card	nan	nan	False
christmas tree	4.14	4.14	True
chute	4.79	7.68	False
cigar	7.67	7.67	True
cigarette	3.73	9.72	False
cigarette butt	nan	nan	False
cigarette holder	nan	nan	False
cilantro	12.27	13.88	False
cinnamon	5.37	5.37	False
clam	7.37	7.37	True
clarinet	9.22	9.22	True
clasp	8.63	8.63	True
clay	5.32	5.32	True
cleat	9.0	9.0	True
cleaver	8.21	8.94	False
clipboard	7.76	7.76	True
clipper	9.56	9.56	True
clipper	9.56	9.56	True
cloak	6.95	6.95	True
clock	4.42	4.42	True
closet	5.0	7.84	True
clothes	3.11	10.8	False
clothesline	6.67	6.67	True
clothespin	7.83	7.83	False
cloud	3.63	3.63	True
clove	10.88	10.88	True
clover	5.74	5.74	False
coal	6.65	6.65	True
coaster	7.89	7.89	True
coat	3.58	3.58	True
coat rack	nan	nan	False
cobra	7.47	7.47	True
cockatoo	9.44	9.44	True
cockroach	6.25	7.15	True
cocktail	9.53	9.53	True
coconut	6.5	6.5	False
cocoon	8.95	8.95	True
coffee	4.94	12.63	True
coffee bean	4.94	4.94	False
coffee filter	nan	nan	False
coffee pot	5.53	5.53	True
coffee table	nan	nan	False
coffeemaker	7.78	7.78	True
coffin	7.79	8.26	True
coil	9.67	9.67	True
coin	4.17	4.17	True
coleslaw	6.72	8.28	True
collar	6.56	6.56	True
column	7.56	8.26	True
comb	5.5	5.5	True
combination lock	nan	nan	False
comic book	nan	nan	False
compass	8.44	8.44	True
compost	9.72	9.72	True
computer	9.7	9.7	False
computer screen	nan	nan	False
confetti	7.39	7.39	True
contact lens	7.78	7.78	False
container	6.5	6.5	True
cooker	6.95	6.95	True
cookie	3.37	4.63	False
cookie cutter	nan	nan	False
cookie sheet	nan	nan	False
cooler	6.11	6.11	False
coop	8.25	8.62	False
copier	8.17	9.68	True
coral	9.06	9.06	True
cord	6.0	6.0	False
cordon bleu	nan	nan	False
cork	9.05	9.05	False
corkboard	8.44	8.44	True
corkscrew	7.78	7.78	False
corn	4.61	9.59	False
cornbread	6.4	6.4	True
cornhusk	nan	nan	False
cornmeal	6.84	6.84	False
cornucopia	9.26	9.26	False
corsage	11.47	11.47	True
corset	10.22	10.67	False
costume	4.17	4.17	True
cot	7.53	7.53	False
cotton candy	nan	nan	False
couch	3.74	9.53	True
cougar	5.6	14.0	False
counter	7.11	7.11	True
coverall	9.32	9.32	True
cow	3.94	3.94	False
coyote	6.68	6.68	False
crab	5.28	5.28	True
cracker	4.9	4.9	True
cranberry	6.45	6.45	True
crane	6.78	6.78	True
crank	7.35	11.25	True
crate	7.06	7.06	True
crayfish	8.74	10.73	False
crayon	3.2	3.2	False
cream	5.95	5.95	True
cream cheese	nan	nan	False
credit card	5.11	9.73	False
creme brulee	nan	nan	False
crepe	10.67	10.89	False
crib	6.05	7.53	True
croissant	10.15	10.15	False
cross	4.74	4.74	True
crossbow	10.67	10.67	True
crouton	8.17	8.17	True
crow	5.74	5.74	True
crowbar	8.06	8.72	False
crown	7.8	16.56	True
crucifix	9.05	12.33	False
cruise ship	nan	nan	False
crumb	5.89	5.89	True
crutch	7.21	7.21	True
crystal ball	nan	nan	False
crystal	7.78	7.78	True
crystal	7.78	12.0	True
cuckoo clock	nan	nan	False
cucumber	5.72	5.72	False
cufflink	9.84	9.84	True
cummerbund	13.0	13.0	True
cup	3.57	3.57	True
cupcake	4.11	4.11	True
curb	6.81	6.81	False
curling iron	nan	nan	False
curry	13.28	13.28	True
curtain	4.95	12.27	True
cushion	5.53	5.53	True
cutting board	nan	nan	False
cymbal	9.94	9.94	True
dagger	4.42	8.44	True
daisy	5.55	5.55	True
dalmatian	6.06	6.06	False
dandelion	5.11	5.11	False
dart	7.38	7.38	True
dartboard	8.44	8.44	True
dashboard	9.21	15.78	True
deer	5.17	5.17	False
defibrillator	15.1	15.1	True
denture	3.84	10.16	False
deodorant	8.83	8.83	False
desk	5.56	5.56	True
dessert	4.53	5.61	False
detonator	5.53	10.63	False
dial	6.68	6.68	False
diamond	6.47	6.47	True
diaper	3.4	8.44	True
dice	4.53	6.37	True
dip	7.0	7.0	True
dirt bike	11.59	11.59	False
dish	4.89	4.89	True
dishrag	6.33	6.33	False
dishwasher	7.16	7.16	False
dishwashing liquid	nan	nan	False
diskette	6.68	11.82	False
diving board	nan	nan	False
dog	2.8	2.8	False
dogfood	nan	nan	False
doghouse	6.74	9.89	True
doily	nan	nan	False
doll	3.68	3.68	False
dollhouse	4.86	4.86	False
dolly	nan	nan	False
dolphin	6.05	6.05	True
domino	6.17	6.17	True
donkey	6.0	6.0	False
donut	5.42	6.9	False
door	3.05	3.05	True
doorbell	3.89	5.72	True
doorhandle	nan	nan	False
doorknob	4.7	4.7	False
doorknocker	7.06	10.74	True
doormat	7.21	7.21	False
doorstop	6.61	6.61	False
dough	6.63	6.63	True
dragonfly	6.8	6.8	False
drain	6.26	9.11	False
drawer	5.37	5.37	True
dreidel	nan	nan	False
dress	4.05	9.65	True
dresser	4.28	11.95	False
drill	7.14	7.14	True
drink	3.47	3.47	True
drum	4.63	4.63	False
drumstick	7.79	7.79	True
dryer	6.16	6.16	False
duck	3.5	3.5	True
duckling	4.95	4.95	True
duct	10.74	10.74	True
duct tape	nan	nan	False
duffel bag	10.11	10.11	False
dumbbell	7.56	7.56	True
dumbwaiter	11.47	11.47	False
dumpling	8.5	8.5	False
dumpster	9.06	9.06	True
duster	8.11	8.11	False
dustpan	6.47	6.47	True
dynamite	7.11	7.11	True
eagle	5.83	5.83	False
ear	3.63	3.63	True
earplug	7.58	7.58	True
earring	7.17	7.17	True
earwig	10.71	10.71	True
easel	7.0	7.0	True
easter egg	nan	nan	False
eclair	10.76	10.76	True
eel	6.47	6.47	True
egg	3.89	3.89	False
egg roll	8.47	8.47	False
eggbeater	9.05	9.05	False
eggnog	7.45	7.45	True
eggplant	8.3	8.3	False
eggshell	5.22	7.11	True
elbow	4.78	4.78	False
electric chair	3.43	3.43	False
elephant	4.8	4.8	True
emerald	8.26	8.26	True
enchilada	11.28	11.28	True
engine	6.28	6.28	True
envelope	6.25	6.25	True
eraser	4.95	4.95	True
espresso	13.26	13.26	True
exerciser	9.81	9.81	False
exhaust pipe	nan	nan	False
extinguisher	7.35	7.35	False
eye	3.75	11.0	False
eye patch	7.28	7.28	False
eyedropper	6.61	8.56	True
eyeliner	10.63	10.63	True
eyepiece	9.0	13.28	True
face	3.75	3.75	False
face mask	nan	nan	False
fan	5.63	5.63	True
fast food	nan	nan	False
faucet	6.29	9.5	True
feather	4.67	12.94	True
fence	6.28	10.94	True
fencepost	nan	nan	False
fern	8.67	8.67	True
ferret	8.47	8.47	True
ferris wheel	nan	nan	False
ferry	8.0	8.63	True
fig	8.06	8.06	True
figurine	9.0	13.62	True
file	8.21	8.21	True
file	8.21	8.21	True
filing cabinet	8.21	8.21	False
film	6.95	6.95	False
filter	8.05	8.05	True
finger	3.43	3.43	True
fingerprint	7.56	7.56	True
fire	3.25	3.25	True
fire alarm	nan	nan	False
fire hydrant	5.36	8.73	True
fire pit	7.37	7.37	False
firecracker	4.9	11.07	True
fireplace	7.37	10.05	False
firetruck	3.69	3.69	False
firewood	6.61	6.61	True
fireworks	4.95	12.93	True
first-aid kit	nan	nan	False
fish	4.05	4.05	True
fishbowl	5.47	5.47	False
fishhook	6.84	6.84	True
fishing pole	6.18	7.64	True
fishnet stockings	nan	nan	False
flag	5.33	5.33	True
flagpole	6.44	11.33	True
flamethrower	8.89	8.89	True
flamingo	6.32	6.32	True
flan	12.65	12.65	True
flashbulb	7.42	14.42	False
flashlight	5.61	7.84	True
flask	10.78	10.78	True
flatiron	11.67	11.67	False
flip-flop	12.41	12.41	False
flipper	7.3	8.58	True
float	5.39	5.39	True
floss	7.06	7.06	False
flour	6.89	6.89	True
flower	3.11	3.11	True
flute	8.47	8.47	False
fly	3.05	3.05	True
flypaper	9.48	9.48	True
flyswatter	5.79	11.43	False
foam	6.15	6.15	True
folder	8.21	8.21	True
fondue	9.21	10.78	True
food processor	nan	nan	False
foot	3.44	3.44	False
football	4.84	4.84	True
football helmet	nan	nan	False
footbath	8.53	8.53	True
footprint	4.11	10.47	True
footrest	6.55	6.55	True
fork	3.63	3.63	True
forklift	9.11	9.11	True
fossil	7.5	7.5	True
fountain pen	nan	nan	False
fox	5.02	5.02	True
frame	7.67	7.67	False
freezer	4.63	4.63	False
french fries	nan	nan	False
french horn	4.84	4.84	False
frisbee	5.5	5.5	True
frog	4.32	6.11	False
fruit	3.63	3.63	True
fruitcake	8.28	8.28	True
fudge	5.78	5.78	True
fungus	8.44	8.44	True
funnel	8.44	8.44	True
fur coat	nan	nan	False
furnace	10.6	10.6	True
fuse	10.78	10.78	False
gallows	11.24	11.24	True
game	4.26	4.26	True
garbage	4.89	4.89	True
garbage truck	nan	nan	False
gargoyle	10.18	10.18	True
garlic	6.89	9.71	True
garter	8.75	11.72	True
gas mask	10.11	10.47	False
gasket	10.9	10.9	True
gate	5.32	5.32	True
gauge	10.83	10.83	False
gauze	9.32	9.32	False
gavel	9.22	9.22	True
gazelle	9.37	9.37	True
gear	7.61	12.15	False
gearshift	10.89	11.06	False
gel	7.21	7.21	False
gem	4.44	7.94	True
generator	11.11	11.11	True
gift	5.05	5.05	True
ginger	8.05	13.53	True
gingerbread man	nan	nan	False
giraffe	5.0	5.0	False
girl	4.0	4.0	False
glass	4.47	4.47	False
glasses	4.35	12.94	False
globe	6.5	6.5	True
glove	4.3	4.3	True
glue	4.67	14.22	True
go-kart	8.81	8.81	True
goalpost	9.83	9.83	True
goat	5.21	5.21	False
goblet	11.44	11.44	True
goggles	7.05	7.05	True
gold	7.1	7.1	False
goldfish	4.5	4.5	False
golf cart	nan	nan	False
golf club	5.89	5.89	False
gondola	10.21	10.21	True
gong	9.62	9.62	False
goose	5.15	5.15	True
gopher	7.21	7.21	False
gorilla	5.74	5.74	False
gourd	10.65	10.65	True
graffiti	9.47	14.55	True
grain	7.44	7.44	False
gramophone	12.25	12.25	False
granite	12.24	12.24	True
granola	9.94	9.94	True
grape	3.94	3.94	True
grapefruit	6.9	6.9	True
grapevine	3.94	7.37	True
grass	3.94	3.94	True
grasshopper	5.78	5.78	False
grate	8.9	10.71	True
grater	8.88	8.88	True
gravel	7.19	7.19	False
gravestone	7.37	9.44	True
gravy	6.0	6.0	True
green beans	nan	nan	False
grenade	9.72	9.72	True
grill	6.53	13.19	False
grille	nan	nan	False
grinder	8.17	8.68	False
grits	8.95	8.95	False
groundhog	6.0	8.26	False
guacamole	9.68	9.68	True
guardrail	9.35	9.35	False
guillotine	11.75	11.75	True
guinea pig	nan	nan	False
guitar	5.32	5.32	True
gum	4.89	4.89	False
gumball	5.32	5.32	True
gumdrop	5.53	5.53	True
gun	5.58	5.58	True
gurney	11.47	11.47	True
gutter	7.79	8.41	True
gyro	11.71	11.71	True
gyroscope	11.71	12.69	True
hail	7.9	7.9	True
hair	3.17	3.17	True
hairbrush	4.7	4.7	True
hairdryer	6.06	6.06	False
hairnet	8.7	8.7	True
hairpin	8.17	8.17	True
hairspray	7.84	7.84	True
ham	4.1	14.5	False
hamburger	5.17	5.21	False
hammer	5.42	5.42	True
hammock	5.83	7.11	True
hamster	4.37	4.37	True
hand	2.74	6.83	False
handbrake	5.94	8.05	False
handcuff	6.28	12.5	False
handkerchief	7.22	8.71	False
handle	4.67	6.7	False
handlebar	6.26	6.26	True
handprint	5.11	5.11	True
hanger	6.78	6.78	True
hard disk	nan	nan	False
harmonica	7.32	7.55	False
harness	7.83	7.83	True
harp	7.55	7.55	True
hash	12.74	12.74	True
hat	3.33	14.92	True
hatbox	10.16	10.16	True
hatchet	8.2	8.2	True
hawk	6.74	6.74	True
hay	5.32	5.32	True
headband	6.33	6.33	True
headdress	9.06	10.78	True
headlamp	nan	nan	False
headlight	6.79	6.79	False
headphones	4.11	10.28	True
headrest	7.68	7.68	False
headscarf	nan	nan	False
headset	9.05	9.05	True
hearing aid	nan	nan	False
hearse	9.89	9.89	True
heater	6.1	6.1	False
hedge	8.9	9.91	True
hedgehog	8.63	8.63	False
helicopter	5.26	12.36	True
helmet	5.71	5.71	True
highchair	3.79	3.79	False
highlighter	8.24	8.24	True
hinge	7.95	7.95	False
hip	6.17	6.17	True
hippopotamus	5.79	7.0	False
hobbyhorse	8.35	8.35	False
hockey stick	nan	nan	False
hoe	8.72	8.72	True
hole	5.05	5.05	True
holster	10.32	10.32	True
home plate	3.84	3.87	False
honey	5.44	5.44	True
honeycomb	7.11	7.11	True
honeypot	nan	nan	False
hood	5.5	5.5	True
hoodie	nan	nan	False
hook	6.26	6.26	True
hook	6.26	6.26	True
hookah	15.13	15.13	False
hopscotch	5.8	5.8	True
horn	4.84	4.84	True
horse	4.15	4.15	False
horseshoe	2.6	5.85	True
hose	5.33	5.33	False
hot chocolate	3.33	6.84	False
hot tub	nan	nan	False
hot-air balloon	nan	nan	False
hot-water bottle	nan	nan	False
hotdog	4.55	4.55	False
hotplate	12.21	12.21	True
hourglass	8.58	8.58	True
hovercraft	9.28	9.28	False
hubcap	8.39	8.39	True
hula hoop	nan	nan	False
hummingbird	6.95	6.95	True
hummus	14.84	14.84	False
humvee	nan	nan	False
hydrant	6.89	6.89	True
hyena	6.61	6.61	False
ice	3.86	3.86	False
ice cream	3.33	3.33	True
ice cube	nan	nan	False
ice pack	6.89	6.89	False
ice-cream cone	nan	nan	False
icemaker	nan	nan	False
icepick	9.0	9.0	True
iceskate	7.97	7.97	True
icicle	5.78	5.78	True
iguana	7.61	7.61	False
incense	10.45	10.45	True
incubator	10.0	11.71	True
inhaler	10.26	14.06	True
ink	5.16	5.16	True
inkwell	10.85	11.76	True
insole	12.21	12.21	False
iron	7.32	7.32	False
ironing board	6.58	6.58	True
ivy	nan	nan	False
jack	6.96	6.96	True
jacket	3.95	3.95	True
jackhammer	8.1	8.1	False
jalapeno	11.33	11.33	False
jam	6.56	6.56	True
jar	5.44	5.44	True
javelin	9.44	9.44	True
jeans	6.12	8.22	False
jeep	6.32	6.32	False
jelly bean	5.63	5.63	False
jellyfish	6.61	6.61	True
jersey	8.96	8.96	True
jet	5.39	5.39	False
jetski	nan	nan	False
jewel	6.22	7.68	False
jewelry	6.67	6.67	False
jigsaw puzzle	nan	nan	False
joystick	9.29	9.29	True
jug	5.83	5.83	True
juice	4.4	4.4	True
juicer	11.26	13.5	False
juicer	11.26	11.26	True
jukebox	7.42	8.78	True
jump rope	5.8	5.8	False
jumpsuit	9.53	9.53	True
kale	12.12	12.12	False
kaleidoscope	7.41	7.41	True
kangaroo	5.55	5.55	True
kayak	8.8	8.8	True
kazoo	6.25	6.25	True
kebab	10.44	10.44	False
keg	13.41	13.41	True
ketchup	4.3	6.65	False
kettle	8.06	8.89	True
key	3.58	3.58	True
keyboard	9.32	9.32	True
keyhole	7.86	7.86	True
kilt	8.21	8.21	True
kimono	11.37	11.37	True
kite	4.58	4.58	True
kitten	3.54	3.64	True
kiwi	7.56	7.56	False
knee	4.42	13.18	False
kneepad	8.06	8.06	True
knife	4.15	4.15	True
knitting	7.24	7.86	False
knitting needle	nan	nan	False
knob	4.68	4.68	True
knot	6.05	6.05	True
koala	6.0	6.0	False
lab coat	nan	nan	False
ladder	4.4	4.4	True
ladle	9.83	9.83	True
ladybug	4.84	10.53	False
lamb	4.15	4.15	True
lamb chop	nan	nan	False
lamp	4.0	4.0	True
lamppost	8.39	8.39	True
lampshade	5.63	5.63	True
landmine	10.95	10.95	False
lantern	8.55	8.55	True
lanyard	12.14	12.14	False
laptop	12.44	12.44	False
lasagna	5.0	5.0	False
laser pointer	7.7	7.7	False
latch	8.0	8.0	True
latte	13.47	13.47	False
laundry basket	nan	nan	False
lava	6.44	6.44	True
lavender	9.11	9.11	True
lawnmower	6.11	6.89	True
leaf	4.6	12.6	True
leash	5.79	10.67	True
lectern	12.92	12.92	False
leech	7.84	9.56	False
leek	11.0	11.0	False
leg	3.0	3.0	True
leggings	nan	nan	False
lego	nan	nan	False
lemon	4.74	4.74	True
lemonade	5.06	5.06	True
lens	9.53	9.53	False
leopard	6.84	6.84	False
leotard	nan	nan	False
letter opener	nan	nan	False
lettuce	4.28	4.28	True
license plate	nan	nan	False
licorice	5.79	5.79	False
lid	5.95	5.95	True
life jacket	7.93	7.93	False
lifesaver	7.3	11.75	False
light switch	4.78	5.94	True
